time,open,high,low,close
1645586100,1899.51,1899.675,1898.985,1899.304
1645587000,1899.304,1899.96,1899.26,1899.86
1645587900,1899.86,1900.13,1899.73,1899.83
1645588800,1899.83,1899.88,1898.835,1899.18
1645589700,1899.18,1899.425,1899.14,1899.215
1645590600,1899.215,1899.39,1899.155,1899.316
1645591500,1899.316,1899.37,1896.415,1897.04
1645592400,1897.04,1897.32,1896.275,1896.385
1645593300,1896.385,1896.385,1894.68,1895.6
1645594200,1895.6,1896.91,1895.235,1896.585
1645595100,1896.585,1896.67,1895.775,1896.285
1645596000,1896.285,1896.49,1893.44,1894.92
1645596900,1894.92,1896.45,1894.855,1896.37
1645597800,1896.37,1896.97,1896.165,1896.895
1645598700,1896.895,1897.475,1896.245,1897.06
1645599600,1897.06,1898.495,1896.765,1897.625
1645600500,1897.625,1898.04,1894.97,1895.386
1645601400,1895.386,1896.715,1895.315,1896.655
1645602300,1896.655,1896.78,1894.875,1894.885
1645603200,1894.885,1897.02,1894.72,1896.46
1645604100,1896.46,1897.216,1895.54,1896.51
1645605000,1896.51,1897.735,1893.62,1894.73
1645605900,1894.73,1896.005,1892.145,1893.14
1645606800,1893.14,1895.625,1892.775,1892.986
1645607700,1892.986,1893.53,1891.805,1892.445
1645608600,1892.445,1892.57,1889.68,1892.344
1645609500,1892.344,1893.82,1890.87,1893.495
1645610400,1893.495,1894.15,1892.756,1893.215
1645611300,1893.215,1894.95,1893.165,1894.01
1645612200,1894.01,1895.885,1893.61,1895.55
1645613100,1895.55,1895.89,1894.64,1894.93
1645614000,1894.93,1895.065,1893.605,1894.235
1645614900,1894.235,1895.705,1894.12,1895.49
1645615800,1895.49,1895.775,1894.355,1894.82
1645616700,1894.82,1896.175,1894.675,1894.79
1645617600,1894.79,1895.575,1894.055,1895.216
1645618500,1895.216,1895.285,1894.205,1894.36
1645619400,1894.36,1895.556,1893.675,1895.45
1645620300,1895.45,1897.145,1895.205,1896.425
1645621200,1896.425,1898.025,1896.065,1897.28
1645622100,1897.28,1904.365,1896.45,1903.75
1645623000,1903.75,1904.57,1899.46,1899.93
1645623900,1899.93,1901.416,1899.4,1901.275
1645624800,1901.275,1902.265,1900.2,1900.84
1645625700,1900.84,1901.525,1899.675,1900.39
1645626600,1900.39,1903.386,1899.74,1902.86
1645627500,1902.86,1906.29,1902.285,1906.29
1645628400,1906.29,1908.15,1903.145,1904.39
1645629300,1904.39,1907.695,1904.235,1906.775
1645630200,1906.775,1907.54,1905.24,1907.196
1645631100,1907.196,1908.4,1906.055,1907.545
1645632000,1907.545,1909.145,1906.92,1907.01
1645632900,1907.01,1907.76,1905.525,1907.275
1645633800,1907.275,1908.645,1906.62,1908.18
1645634700,1908.18,1909.005,1907.2,1908.54
1645635600,1908.54,1910.305,1908.49,1909.395
1645636500,1909.395,1910.5,1908.565,1910.11
1645637400,1910.11,1910.465,1909.275,1909.505
1645638300,1909.505,1909.555,1908.17,1908.365
1645639200,1908.365,1909.435,1907.676,1908.895
1645640100,1908.895,1909.58,1907.435,1907.765
1645641000,1907.765,1907.94,1906.025,1906.66
1645641900,1906.66,1908.985,1906.475,1908.77
1645642800,1908.77,1909.375,1907.375,1907.96
1645643700,1907.96,1909.275,1907.41,1908.315
1645644600,1908.315,1908.38,1906.99,1906.99
1645645500,1906.99,1907.79,1906.59,1907.12
1645646400,1907.12,1908.145,1906.565,1907.485
1645647300,1907.485,1907.525,1904.685,1904.785
1645648200,1904.785,1907.086,1904.665,1906.45
1645649100,1906.45,1910.344,1906.365,1909.245
1645650000,1909.245,1910.105,1908.706,1908.99
1645650900,1908.99,1909.13,1908.23,1908.275
1645651800,1908.275,1908.71,1907.32,1907.45
1645652700,1907.45,1909.106,1907.215,1909.075
1645657200,1909.075,1911.015,1909.075,1910.26
1645658100,1910.26,1911.295,1910.206,1910.88
1645659000,1910.88,1911.61,1910.725,1910.725
1645659900,1910.725,1911.36,1910.59,1910.825
1645660800,1910.825,1912.35,1910.23,1910.745
1645661700,1910.745,1913.12,1910.42,1911.32
1645662600,1911.32,1913.555,1911.255,1911.87
1645663500,1911.87,1913.84,1911.545,1913.78
1645664400,1913.78,1913.78,1910.516,1910.83
1645665300,1910.83,1913.125,1910.175,1912.475
1645666200,1912.475,1914.14,1912.085,1912.39
1645667100,1912.39,1913.676,1912.235,1913.49
1645668000,1913.49,1914.235,1912.655,1913.76
1645668900,1913.76,1915.35,1913.395,1914.425
1645669800,1914.425,1915.3,1913.345,1915.095
1645670700,1915.095,1920.99,1914.525,1920.985
1645671600,1920.985,1928.86,1920.96,1924.03
1645672500,1924.03,1931.24,1923.835,1927.954
1645673400,1927.954,1931.295,1926.555,1929.085
1645674300,1929.085,1929.776,1926.986,1929.27
1645675200,1929.27,1944.6,1929.03,1943.63
1645676100,1943.63,1949.09,1938.5,1941.47
1645677000,1941.47,1944.335,1938.585,1940.19
1645677900,1940.19,1940.665,1933.465,1935.74
1645678800,1935.74,1940.97,1933.835,1940.125
1645679700,1940.125,1940.995,1936.185,1938.26
1645680600,1938.26,1945.64,1937.994,1943.946
1645681500,1943.946,1943.946,1939.05,1940.43
1645682400,1940.43,1940.97,1935.835,1938.57
1645683300,1938.57,1942.56,1937.43,1942.47
1645684200,1942.47,1943.446,1938.535,1938.975
1645685100,1938.975,1943.096,1938.515,1942.475
1645686000,1942.475,1944.22,1941.33,1943.425
1645686900,1943.425,1944.78,1941.77,1941.825
1645687800,1941.825,1942.39,1937.95,1938.806
1645688700,1938.806,1945.395,1938.755,1945.39
1645689600,1945.39,1945.465,1941.43,1942.55
1645690500,1942.55,1943.57,1938.995,1940.305
1645691400,1940.305,1943.115,1939.85,1941.945
1645692300,1941.945,1946.24,1941.87,1945.03
1645693200,1945.03,1945.73,1940.385,1943.68
1645694100,1943.68,1947.44,1943.145,1944.585
